Model Realization Faultblock Zone GRV NRV NPV HCPV STOIIP
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre2 Below_Brent_1_1 14845387.68 8746570.43 1870156.88 1013926.73 785989.74
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre2 Totals 90350888.92 76666069.21 22159425.97 16512811.59 12800629.52
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Draupne 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_ReWorkedBrent 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_6 18987034.11 18033268.98 5224395.32 3974992.19 3081389.38
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_5 50817388.61 46161833.68 14148946.86 10608630.39 8223744.73
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_4_3 18694010.35 15954816.94 4493413.75 2546678.88 1974169.73
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_4_2 20883722.96 7552250.73 1982954.54 1210514.75 938383.55
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_4_1 18532892.59 10492473.83 3098988.62 1820003.96 1410855.83
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_3_3 23386919.33 14712584.60 4207551.52 2402115.89 1862105.40
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_3_2 2925338.43 2115637.00 594205.55 310241.19 240497.05
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_3_1 3416418.63 1442121.90 424264.65 213714.51 165670.17
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_2 336068.94 332944.35 106025.07 40524.87 31414.63
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_1_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_1_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Below_Brent_1_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Vest Totals 157979793.95 116797932.00 34280745.89 23127416.62 17928230.47
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Draupne 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_ReWorkedBrent 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_6 13838892.34 13004432.13 3720709.37 2920517.17 2263966.86
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_5 28958954.55 26085640.64 7903092.20 6023137.75 4669099.17
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_4_3 7546909.39 6254142.36 1885133.62 1465550.17 1136085.44
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_4_2 7993512.06 4675785.93 1276708.66 711327.57 551416.73
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_4_1 30213052.50 18131565.55 5250390.08 4009903.35 3108452.30
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_3_3 17528251.96 8521360.82 2445678.09 1938459.23 1502681.62
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_3_2 7513483.21 4350614.17 1247692.47 991933.24 768940.52
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_3_1 12579661.41 8161033.56 2317902.16 1800312.88 1395591.42
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_2 16243018.50 11765650.46 3453563.26 2749531.24 2131419.63
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_1_3 14722801.06 12214489.03 3474068.10 2717222.61 2106374.18
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_1_2 1380869.09 1195439.47 296714.80 157070.72 121760.25
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Below_Brent_1_1 2434579.14 2167663.97 578869.15 391640.44 303597.25
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Sor Totals 160953985.22 116527818.09 33850521.95 25876606.36 20059385.37
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Draupne 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_ReWorkedBrent 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_6 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_5 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_4_3 1682562.38 1534682.93 426866.82 348578.75 270216.09
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_4_2 828049.83 304331.25 77189.60 49317.65 38230.74
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_4_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_3_3 34535.30 14922.20 4038.46 2583.46 2002.68
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_3_2 2992395.69 521534.01 129255.92 70991.24 55031.97
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_3_1 586110.66 373572.64 102575.60 46378.16 35952.07
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_2 3624498.68 3594277.20 1149506.09 822982.46 637970.91
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_1_3 1917773.38 1813962.35 559914.70 384820.97 298310.84
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_1_2 12524954.22 11443526.98 3277838.85 2186808.14 1695200.16
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Below_Brent_1_1 1415771.52 1199915.87 266396.49 79333.73 61499.02
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre1 Totals 25606651.66 20800725.44 5993582.53 3991794.56 3094414.48
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Draupne 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_ReWorkedBrent 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_6 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_5 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_4_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_4_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_4_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_3_3 620466.87 401284.54 121240.57 99722.90 77304.58
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_3_2 2904250.02 1887299.29 584332.54 483952.07 375156.65
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_3_1 531443.33 277425.64 87319.68 71857.44 55703.44
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_2 821716.75 817591.68 269235.95 244862.16 189815.63
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_1_3 15903791.50 14028351.48 4412534.42 3973986.13 3080609.49
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_1_2 37454370.49 35047389.22 10167296.05 8738605.99 6774113.37
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Below_Brent_1_1 37413225.28 21149813.89 5257971.41 4338803.81 3363413.91
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Midtre3 Totals 95649264.25 73609155.74 20899930.63 17951790.50 13916117.07
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Draupne 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_ReWorkedBrent 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_6 1048048.19 894602.18 261065.09 136347.96 105696.09
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_5 293233.89 279739.61 88234.24 39994.43 31003.44
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_4_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_4_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_4_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_3_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_3_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_3_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_1_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_1_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Below_Brent_1_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof054C Totals 1341282.08 1174341.78 349299.33 176342.39 136699.53
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Draupne 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_ReWorkedBrent 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_6 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_5 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_4_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_4_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_4_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_3_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_3_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_3_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_1_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_1_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Below_Brent_1_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Westof053C Totals 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Draupne 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_ReWorkedBrent 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_6 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_5 68371.56 62313.53 19203.64 2613.70 2026.12
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_4_3 1331053.63 1034833.61 297497.61 167519.35 129859.96
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_4_2 1404678.92 241693.99 59316.31 25020.51 19395.74
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_4_1 1745025.87 585613.41 155887.98 69035.38 53515.80
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_3_3 835800.69 495847.41 133807.46 69913.94 54196.85
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_3_2 3742995.75 842841.73 207355.34 72023.05 55831.82
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_3_1 6553644.69 5799229.84 1643208.04 1004670.70 778814.52
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_2 7538431.41 7503170.01 2373595.44 1614126.69 1251261.04
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_1_3 12698813.32 11443537.95 3498116.17 2245922.20 1741025.01
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_1_2 5528734.67 5418299.00 1609271.93 1056571.51 819047.71
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Below_Brent_1_1 237013.94 229645.54 53282.21 13043.75 10111.43
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_MidtreNord Totals 41684564.44 33657026.02 10050542.12 6340460.76 4915086.01
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Draupne 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_ReWorkedBrent 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_6 25430984.44 23330190.46 6956720.65 5350807.09 4147912.59
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_5 32170905.30 25948705.23 7761920.31 5497527.63 4261649.45
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_4_3 4515814.85 3421128.43 1014607.98 677836.49 525454.66
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_4_2 8049217.77 1451548.28 369423.17 120706.00 93570.55
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_4_1 708383.03 263243.58 67596.80 37340.68 28946.26
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_3_3 449646.26 257894.80 70783.10 38587.31 29912.64
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_3_2 4860.06 1364.47 341.66 85.43 66.23
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_3_1 948025.86 258211.11 71645.87 44639.04 34603.91
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_2 1948404.83 1912340.93 616532.03 462056.75 358183.54
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_1_3 2047486.84 1856927.28 593497.41 473617.44 367145.32
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_1_2 921638.33 855079.01 242887.61 172361.28 133613.40
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Below_Brent_1_1 731200.09 577216.18 121509.44 40327.21 31261.41
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_Ost_All Totals 77926567.66 60133849.77 17887466.00 12915892.35 10012319.95
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Draupne 23888446.83 18857203.97 5576302.72 4178272.46 3238970.99
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_ReWorkedBrent 82347264.07 60967191.37 16928187.19 13184598.71 10220619.46
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_6 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_5 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_4_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_4_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_4_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_3_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_3_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_3_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_1_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_1_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Below_Brent_1_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 2015Tordis_RwBr_Dr Totals 106235710.90 79824395.34 22504489.91 17362871.17 13459590.45
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Draupne 23888446.83 18857203.97 5576302.72 4178272.46 3238970.99
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_ReWorkedBrent 82347264.07 60967191.37 16928187.19 13184598.71 10220619.46
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_6 59304959.09 55262493.75 16162890.44 12382664.40 9598964.93
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_5 112308853.92 98538232.70 29921397.23 22171903.90 17187522.91
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_4_3 33770350.60 28199604.28 8117519.78 5206163.63 4035785.88
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_4_2 39159181.53 14225610.19 3765592.28 2116886.48 1640997.32
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_4_1 51199353.99 29472896.37 8572863.48 5936283.37 4601770.19
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_3_3 42855620.39 24403894.38 6983099.20 4551382.73 3528203.77
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_3_2 20083323.16 9719290.66 2763183.49 1929226.21 1495524.24
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_3_1 25970585.59 16654183.48 4747925.62 3256197.25 2524183.99
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_2 42749424.86 38098409.79 11844264.70 9201074.66 7132616.23
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_1_3 82019679.24 72864905.84 22386070.48 17687213.63 13711018.73
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_1_2 84994488.15 77856570.74 22058522.16 16577043.18 12850421.45
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Below_Brent_1_1 57077177.65 34070825.88 8148185.58 5877075.68 4555872.76
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 0 Totals Totals 757728709.07 579191313.40 167976004.34 124255986.30 96322472.85
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Draupne 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_ReWorkedBrent 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Brent_6 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Brent_5 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Brent_4_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Brent_4_2 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Brent_4_1 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Brent_3_3 0.00 0.00 0.00 0.00 0.00
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Brent_3_2 243101.33 12544.04 3165.92 2289.37 1774.71
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Brent_3_1 1081101.74 291399.05 82776.48 61889.97 47976.72
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Brent_2 17624918.60 17406660.00 5502934.56 4649420.96 3604202.40
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Brent_1_3 31099982.03 28152309.11 8862119.67 6949875.69 5387500.70
20170127_sf01rms201314_faciesseed_COMPDEPTHUNC 1 2015Tordis_Midtre2 Below_Brent_1_2 25510804.02 23156530.59 6359634.58 4453471.65 3452303.71
